update_id,permission
64,android.permission.READ_PHONE_NUMBERS
64,android.permission.ACCESS_COARSE_LOCATION
64,com.instagram.direct.permission.PROTECTED_DEEPLINKING
64,android.permission.WAKE_LOCK
64,android.permission.ACCESS_WIFI_STATE
64,com.google.android.c2dm.permission.RECEIVE
64,android.permission.READ_MEDIA_AUDIO
64,android.permission.BLUETOOTH_SCAN
64,android.permission.ACCESS_BACKGROUND_LOCATION
64,com.android.vending.BILLING
64,android.permission.RECORD_AUDIO
64,com.instagram.direct.permission.DIRECT_APP_THREAD_STORE_SERVICE
64,android.permission.CHANGE_WIFI_STATE
64,android.permission.INTERNET
64,android.permission.USE_FULL_SCREEN_INTENT
64,android.permission.BLUETOOTH_CONNECT
64,android.permission.READ_CONTACTS
64,android.permission.GET_ACCOUNTS
64,android.permission.ACCESS_MEDIA_LOCATION
64,android.permission.CALL_PHONE
64,com.sonyericsson.home.permission.BROADCAST_BADGE
64,com.htc.launcher.permission.READ_SETTINGS
64,android.permission.FOREGROUND_SERVICE
64,android.permission.BLUETOOTH_ADMIN
64,com.amazon.device.messaging.permission.RECEIVE
64,android.permission.READ_PROFILE
64,android.permission.RECEIVE_BOOT_COMPLETED
64,android.permission.WRITE_EXTERNAL_STORAGE
64,android.permission.BLUETOOTH_ADVERTISE
64,android.permission.ACCESS_FINE_LOCATION
64,com.android.launcher.permission.UNINSTALL_SHORTCUT
64,android.permission.ACCESS_NETWORK_STATE
64,.permission.RECEIVE_ADM_MESSAGE
64,android.permission.USE_FINGERPRINT
64,com.android.launcher.permission.INSTALL_SHORTCUT
64,android.permission.READ_MEDIA_VIDEO
64,android.permission.READ_MEDIA_IMAGES
64,android.permission.VIBRATE
64,android.permission.REORDER_TASKS
64,com.huawei.android.launcher.permission.CHANGE_BADGE
64,com.facebook.services.dev.identity.FEO2
64,com.htc.launcher.permission.UPDATE_SHORTCUT
64,android.permission.USE_CREDENTIALS
64,android.permission.USE_BIOMETRIC
64,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
64,android.permission.CAMERA
64,android.permission.MODIFY_AUDIO_SETTINGS
64,android.permission.READ_EXTERNAL_STORAGE
64,android.permission.BLUETOOTH
64,android.permission.READ_PHONE_STATE
64,android.permission.UPDATE_APP_BADGE
65,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
65,com.facebook.mlite.provider.ACCESS
65,android.permission.READ_PHONE_NUMBERS
65,com.nokia.pushnotifications.permission.RECEIVE
65,android.permission.READ_CALENDAR
65,com.facebook.orca.provider.ACCESS
65,android.permission.ACCESS_COARSE_LOCATION
65,com.sec.android.provider.badge.permission.WRITE
65,android.permission.WAKE_LOCK
65,android.permission.ACCESS_WIFI_STATE
65,android.permission.MANAGE_ACCOUNTS
65,com.google.android.c2dm.permission.RECEIVE
65,android.permission.READ_MEDIA_AUDIO
65,android.permission.BLUETOOTH_SCAN
65,android.permission.ACCESS_BACKGROUND_LOCATION
65,com.android.vending.BILLING
65,android.permission.RECORD_AUDIO
65,android.permission.CHANGE_WIFI_STATE
65,android.permission.INTERNET
65,android.permission.USE_FULL_SCREEN_INTENT
65,com.facebook.katana.provider.ACCESS
65,android.permission.BLUETOOTH_CONNECT
65,com.facebook.permission.prod.FB_APP_COMMUNICATION
65,android.permission.READ_CONTACTS
65,android.permission.GET_ACCOUNTS
65,android.permission.ACCESS_MEDIA_LOCATION
65,android.permission.READ_SYNC_SETTINGS
65,android.permission.READ_SMS
65,android.permission.CALL_PHONE
65,com.sonyericsson.home.permission.BROADCAST_BADGE
65,com.htc.launcher.permission.READ_SETTINGS
65,android.permission.AUTHENTICATE_ACCOUNTS
65,com.facebook.orca.permission.CROSS_PROCESS_BROADCAST_MANAGER
65,com.facebook.orca.permission.RECEIVE_ADM_MESSAGE
65,android.permission.FOREGROUND_SERVICE
65,android.permission.BLUETOOTH_ADMIN
65,android.permission.SYSTEM_ALERT_WINDOW
65,com.amazon.device.messaging.permission.RECEIVE
65,android.permission.READ_PROFILE
65,android.permission.RECEIVE_BOOT_COMPLETED
65,android.permission.NFC
65,android.permission.WRITE_EXTERNAL_STORAGE
65,android.permission.BLUETOOTH_ADVERTISE
65,android.permission.ACCESS_FINE_LOCATION
65,com.sec.android.provider.badge.permission.READ
65,android.permission.MANAGE_OWN_CALLS
65,android.permission.ACCESS_NETWORK_STATE
65,android.permission.USE_FINGERPRINT
65,android.permission.WRITE_CONTACTS
65,com.android.launcher.permission.INSTALL_SHORTCUT
65,com.google.android.providers.gsf.permission.READ_GSERVICES
65,android.permission.RECEIVE_SMS
65,android.permission.SEND_SMS
65,android.permission.READ_MEDIA_VIDEO
65,android.permission.WRITE_SMS
65,android.permission.READ_MEDIA_IMAGES
65,android.permission.VIBRATE
65,android.permission.RECEIVE_MMS
65,com.huawei.android.launcher.permission.CHANGE_BADGE
65,android.permission.WRITE_SYNC_SETTINGS
65,com.htc.launcher.permission.UPDATE_SHORTCUT
65,com.facebook.orca.permission.CREATE_SHORTCUT
65,android.permission.USE_BIOMETRIC
65,com.facebook.receiver.permission.ACCESS
65,android.permission.CHANGE_NETWORK_STATE
65,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
65,android.permission.MODIFY_AUDIO_SETTINGS
65,android.permission.CAMERA
65,android.permission.READ_EXTERNAL_STORAGE
65,android.permission.BLUETOOTH
65,android.permission.READ_PHONE_STATE
66,com.facebook.mlite.provider.ACCESS
66,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
66,android.permission.WRITE_CALENDAR
66,android.permission.READ_PHONE_NUMBERS
66,com.nokia.pushnotifications.permission.RECEIVE
66,android.permission.READ_CALENDAR
66,com.facebook.orca.provider.ACCESS
66,android.permission.ACCESS_COARSE_LOCATION
66,com.sec.android.provider.badge.permission.WRITE
66,android.permission.WAKE_LOCK
66,com.facebook.appmanager.UNPROTECTED_API_ACCESS
66,android.permission.ACCESS_WIFI_STATE
66,android.permission.MANAGE_ACCOUNTS
66,com.google.android.c2dm.permission.RECEIVE
66,android.permission.READ_MEDIA_AUDIO
66,android.permission.BLUETOOTH_SCAN
66,android.permission.ACCESS_BACKGROUND_LOCATION
66,com.android.vending.BILLING
66,com.facebook.services.identity.FEO2
66,android.permission.RECORD_AUDIO
66,com.facebook.katana.permission.RECEIVE_ADM_MESSAGE
66,android.permission.BROADCAST_STICKY
66,android.permission.CHANGE_WIFI_STATE
66,android.permission.INTERNET
66,android.permission.GET_TASKS
66,android.permission.USE_FULL_SCREEN_INTENT
66,com.facebook.katana.provider.ACCESS
66,android.permission.BLUETOOTH_CONNECT
66,com.facebook.permission.prod.FB_APP_COMMUNICATION
66,android.permission.READ_CONTACTS
66,android.permission.GET_ACCOUNTS
66,android.permission.READ_SYNC_SETTINGS
66,android.permission.ACCESS_MEDIA_LOCATION
66,android.permission.CALL_PHONE
66,com.sonyericsson.home.permission.BROADCAST_BADGE
66,com.htc.launcher.permission.READ_SETTINGS
66,android.permission.AUTHENTICATE_ACCOUNTS
66,android.permission.FOREGROUND_SERVICE
66,android.permission.BLUETOOTH_ADMIN
66,android.permission.SYSTEM_ALERT_WINDOW
66,com.amazon.device.messaging.permission.RECEIVE
66,android.permission.READ_PROFILE
66,android.permission.NFC
66,android.permission.RECEIVE_BOOT_COMPLETED
