nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,9
2,1,1,3,2,0,0,9
3,1,2,14,0,0,0,9
4,1,2,3,2,0,0,9
5,1,3,17,0,0,0,9
6,2,0,0,0,0,0,9
7,1,5,2,1,0,0,9
8,1,5,0,2,0,0,9
9,1,6,3,1,0,0,9
10,1,7,4,0,0,0,9
11,1,9,1,2,0,0,9
12,1,10,2,2,0,0,9
13,1,10,31,0,0,0,9
14,1,11,11,0,0,0,9
15,1,11,4,5,0,0,9
16,1,11,4,5,1,0,9
17,1,12,24,0,0,0,9
18,1,12,25,0,0,0,9
19,1,12,31,0,0,0,9
20,1,4,1,0,0,0,9
21,1,5,5,0,0,0,9
22,1,3,2,1,0,0,9
23,1,11,1,1,0,0,9
24,1,11,1,2,1,0,9
25,1,6,14,0,0,0,9
26,1,2,2,0,0,0,9
27,1,5,29,0,0,0,9
28,1,2,12,0,0,0,9
29,1,9,11,0,0,0,9
30,1,4,15,0,0,24,9
31,1,4,16,0,0,1,9
32,1,4,22,0,0,0,9
33,1,12,26,0,0,0,9
34,1,3,0,1,0,0,9
35,1,10,0,1,0,0,9
36,1,5,1,2,0,0,9
37,2,0,0,0,1,0,9
38,1,4,21,0,0,0,9
39,2,0,0,0,-2,0,9
40,1,11,5,0,0,0,9
41,1,8,0,2,0,0,9
42,2,0,0,0,-21,0,9
43,1,1,2,0,0,0,9
44,1,11,11,0,0,0,9
45,2,0,0,0,-47,0,9
46,1,5,0,2,0,0,9
47,1,12,1,0,0,0,9
48,1,3,1,0,0,0,9
49,1,4,23,0,0,0,9
50,1,8,1,2,0,0,9
51,1,12,26,0,0,32,9
102,1,12,26,0,6,64,9
52,1,11,0,5,3,32,9
104,1,12,24,0,0,64,9
53,1,5,4,0,0,0,9
54,1,12,14,0,0,0,9
201,1,11,4,6,0,0,9
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
100,100,0,0,0,0,0,0
