_id,tag,startMs,endMs,backoffMs,backoffPolicy,intervalMs,requirementsEnforced,requiresCharging,requiresDeviceIdle,exact,networkType,extras,numFailures,scheduledAt,started,flexMs,flexSupport,lastRun,transient,requiresBatteryNotLow,requiresStorageNotLow
6,EventNotificationJob_Boot,1,1,30000,EXPONENTIAL,0,0,0,0,1,ANY,,0,1621392903634,0,0,0,0,0,0,0
12,AccountTokenRefreshJob_Boot,1,1,30000,EXPONENTIAL,0,0,0,0,1,ANY,,0,1625809578275,0,0,0,0,0,0,0
