_id,latitude,longitude,locale,country_name,country_code,locality,sub_locality,admin_area,street_name,street_number,postal_code,premises,sub_admin_area,address_text,addr
1,37.235496,-80.4369369,en_US,United States,US,Blacksburg,,Virginia,Claytor Square,812,24060,,Montgomery County,"812 Claytor Square, Blacksburg, VA 24060, USA","United States|Virginia|Montgomery County|Blacksburg|null|null|Claytor Square|null|null|812 Claytor Square, Blacksburg, VA 24060, USA"
2,37.235496520996094,-80.43693542480469,en_US,United States,US,Blacksburg,,Virginia,Claytor Square,812,24060,,Montgomery County,"812 Claytor Square, Blacksburg, VA 24060, USA","United States|Virginia|Montgomery County|Blacksburg|null|null|Claytor Square|null|null|812 Claytor Square, Blacksburg, VA 24060, USA"
3,38.70802227,-81.96715739,en_US,United States,US,Southside,,West Virginia,Kanawha Valley Road,27878,25187,,Mason County,"27878 Kanawha Valley Rd, Southside, WV 25187, USA","United States|West Virginia|Mason County|Southside|null|null|Kanawha Valley Road|null|null|27878 Kanawha Valley Rd, Southside, WV 25187, USA"
4,38.70802307128906,-81.96715545654297,en_US,United States,US,Southside,,West Virginia,Kanawha Valley Road,27878,25187,,Mason County,"27878 Kanawha Valley Rd, Southside, WV 25187, USA","United States|West Virginia|Mason County|Southside|null|null|Kanawha Valley Road|null|null|27878 Kanawha Valley Rd, Southside, WV 25187, USA"
5,38.71188592,-81.96760428,en_US,United States,US,Southside,,West Virginia,Kanawha Valley Road,27348,25187,,Mason County,"27348 Kanawha Valley Rd, Southside, WV 25187, USA","United States|West Virginia|Mason County|Southside|null|null|Kanawha Valley Road|null|null|27348 Kanawha Valley Rd, Southside, WV 25187, USA"
6,38.71188735961914,-81.96760559082031,en_US,United States,US,Southside,,West Virginia,Kanawha Valley Road,27348,25187,,Mason County,"27348 Kanawha Valley Rd, Southside, WV 25187, USA","United States|West Virginia|Mason County|Southside|null|null|Kanawha Valley Road|null|null|27348 Kanawha Valley Rd, Southside, WV 25187, USA"
7,37.34928512573242,-80.53860473632812,en_US,United States,US,Newport,,Virginia,Bald Knob Tower Road,200,24128,,Giles County,"200 Bald Knob Tower Rd, Newport, VA 24128, USA","United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA"
8,37.349300384521484,-80.53861236572266,en_US,United States,US,Newport,,Virginia,Bald Knob Tower Road,200,24128,,Giles County,"200 Bald Knob Tower Rd, Newport, VA 24128, USA","United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA"
9,37.34929656982422,-80.53861999511719,en_US,United States,US,Newport,,Virginia,Bald Knob Tower Road,200,24128,,Giles County,"200 Bald Knob Tower Rd, Newport, VA 24128, USA","United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA"
10,37.3492961,-80.5386215,en_US,United States,US,Newport,,Virginia,Bald Knob Tower Road,200,24128,,Giles County,"200 Bald Knob Tower Rd, Newport, VA 24128, USA","United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA"
