PATH,VALUE
metadata/timestamp,1617476954398
info/start_msisdn_timer,0
root/policy/sms_port,
backup/vers/version,0
root/services/rcsdisabledstate,
info/tc_popup_user_accept,
info/next_autoconfig_time,
root/vers/validity,0
root/serviceproviderext/spgurl,
root/eap_aka/eap_aka_challenge,
root/vers/version,0
root/token/token,
root/eap_aka,
info/completed,false
root/serviceproviderext/params-url,
