itag,width,height,audio_channels,drm_type,is_dash,is_multi,dynamic_range_type,mime_type
512,3840,2160,0,0,1,0,4,video/mp4
513,3840,2160,0,0,1,0,4,video/mp4
514,426,240,0,3,1,0,1,video/mp4
515,426,240,0,3,1,0,1,video/mp4
516,640,360,0,3,1,0,1,video/mp4
517,640,360,0,3,1,0,1,video/mp4
518,854,480,0,3,1,0,1,video/mp4
519,854,480,0,3,1,0,1,video/mp4
520,1280,720,0,3,1,0,1,video/mp4
521,1920,1080,0,3,1,0,1,video/mp4
522,1920,1080,0,3,1,0,1,video/mp4
523,3840,2160,0,3,1,0,1,video/mp4
524,3840,2160,0,3,1,0,1,video/mp4
525,3840,2160,0,3,1,0,1,video/mp4
526,426,240,0,3,1,0,3,video/mp4
527,426,240,0,3,1,0,3,video/mp4
528,640,360,0,3,1,0,3,video/mp4
529,640,360,0,3,1,0,3,video/mp4
18,640,360,2,0,0,0,1,video/mp4
530,854,480,0,3,1,0,3,video/mp4
531,854,480,0,3,1,0,3,video/mp4
532,1280,720,0,3,1,0,3,video/mp4
533,1920,1080,0,3,1,0,3,video/mp4
22,1280,720,2,0,0,0,1,video/mp4
534,1920,1080,0,3,1,0,3,video/mp4
535,3840,2160,0,3,1,0,3,video/mp4
536,3840,2160,0,3,1,0,3,video/mp4
537,426,240,0,3,1,0,4,video/mp4
538,426,240,0,3,1,0,4,video/mp4
539,640,360,0,3,1,0,4,video/mp4
540,640,360,0,3,1,0,4,video/mp4
541,854,480,0,3,1,0,4,video/mp4
542,854,480,0,3,1,0,4,video/mp4
543,1280,720,0,3,1,0,4,video/mp4
544,1920,1080,0,3,1,0,4,video/mp4
545,1920,1080,0,3,1,0,4,video/mp4
546,3840,2160,0,3,1,0,4,video/mp4
547,3840,2160,0,3,1,0,4,video/mp4
37,1920,1080,2,0,0,0,1,video/mp4
559,3840,2160,0,0,1,0,1,video/webm
560,3840,2160,0,0,1,0,2,video/webm
561,3840,2160,0,3,1,0,1,video/webm
562,3840,2160,0,3,1,0,2,video/webm
59,854,480,2,0,0,0,1,video/mp4
61,640,360,2,2,0,0,1,video/mp4
62,854,480,2,2,0,0,1,video/mp4
63,1280,720,2,2,0,0,1,video/mp4
64,1920,1080,2,2,0,0,1,video/mp4
577,2560,1440,0,0,1,0,1,video/webm
578,2560,1440,0,0,1,0,1,video/webm
579,3840,2160,0,0,1,0,1,video/webm
580,2560,1440,0,0,1,0,2,video/webm
581,2560,1440,0,0,1,0,2,video/webm
582,3840,2160,0,0,1,0,2,video/webm
583,2560,1440,0,3,1,0,1,video/webm
584,2560,1440,0,3,1,0,1,video/webm
585,3840,2160,0,3,1,0,1,video/webm
586,2560,1440,0,3,1,0,2,video/webm
587,2560,1440,0,3,1,0,2,video/webm
588,3840,2160,0,3,1,0,2,video/webm
589,1920,1080,0,0,1,0,2,video/webm
78,854,480,2,0,0,0,1,video/mp4
590,1920,1080,0,0,1,0,2,video/webm
591,1920,1080,0,3,1,0,2,video/webm
592,1920,1080,0,3,1,0,2,video/webm
81,640,360,2,1,0,0,1,video/mp4
86,1280,720,2,0,0,0,1,video/mp4
88,1280,720,2,2,0,0,1,video/mp4
89,1280,720,2,0,0,0,1,video/mp4
113,1280,720,2,2,0,1,1,video/mp4
114,854,480,2,2,0,1,1,video/mp4
117,426,240,2,0,0,0,1,video/mp4
119,426,240,2,1,0,0,1,video/mp4
133,426,240,0,0,1,0,1,video/mp4
134,640,360,0,0,1,0,1,video/mp4
135,854,480,0,0,1,0,1,video/mp4
136,1280,720,0,0,1,0,1,video/mp4
137,1920,1080,0,0,1,0,1,video/mp4
139,0,0,2,0,1,0,0,audio/mp4
140,0,0,2,0,1,0,0,audio/mp4
141,0,0,2,0,1,0,0,audio/mp4
142,426,240,0,3,1,0,1,video/mp4
143,640,360,0,3,1,0,1,video/mp4
144,854,480,0,3,1,0,1,video/mp4
145,1280,720,0,3,1,0,1,video/mp4
146,1920,1080,0,3,1,0,1,video/mp4
148,0,0,2,3,1,0,0,audio/mp4
149,0,0,2,3,1,0,0,audio/mp4
150,0,0,2,3,1,0,0,audio/mp4
159,1920,1080,2,2,0,1,1,video/mp4
160,256,144,0,0,1,0,1,video/mp4
161,256,144,0,3,1,0,1,video/mp4
171,0,0,2,0,1,0,0,audio/webm
172,0,0,2,0,1,0,0,audio/webm
180,1920,1080,6,2,0,1,1,video/mp4
186,1280,720,6,2,0,1,1,video/mp4
187,1280,720,6,0,0,0,1,video/mp4
188,1280,720,6,2,0,0,1,video/mp4
189,1920,1080,6,0,0,0,1,video/mp4
190,1920,1080,6,2,0,0,1,video/mp4
191,1280,720,6,0,0,0,1,video/mp4
192,1280,720,6,2,0,0,1,video/mp4
704,0,0,6,0,1,0,0,audio/mp4
193,854,480,2,1,0,0,1,video/mp4
705,0,0,6,0,1,0,0,audio/mp4
706,0,0,6,0,1,0,0,audio/mp4
707,0,0,6,0,1,0,0,audio/mp4
708,0,0,6,3,1,0,0,audio/mp4
709,0,0,6,3,1,0,0,audio/mp4
198,0,0,2,3,1,0,0,audio/webm
710,0,0,6,3,1,0,0,audio/mp4
199,0,0,2,3,1,0,0,audio/webm
711,0,0,6,3,1,0,0,audio/mp4
212,854,480,0,0,1,0,1,video/mp4
213,854,480,0,0,1,0,1,video/mp4
214,1280,720,0,0,1,0,1,video/mp4
215,1280,720,0,0,1,0,1,video/mp4
216,1920,1080,0,0,1,0,1,video/mp4
217,1920,1080,0,0,1,0,1,video/mp4
222,854,480,0,3,1,0,1,video/mp4
223,854,480,0,3,1,0,1,video/mp4
224,1280,720,0,3,1,0,1,video/mp4
225,1280,720,0,3,1,0,1,video/mp4
226,1920,1080,0,3,1,0,1,video/mp4
227,1920,1080,0,3,1,0,1,video/mp4
242,426,240,0,0,1,0,1,video/webm
243,640,360,0,0,1,0,1,video/webm
244,854,480,0,0,1,0,1,video/webm
245,854,480,0,0,1,0,1,video/webm
246,854,480,0,0,1,0,1,video/webm
247,1280,720,0,0,1,0,1,video/webm
248,1920,1080,0,0,1,0,1,video/webm
249,0,0,2,0,1,0,0,audio/webm
250,0,0,2,0,1,0,0,audio/webm
251,0,0,2,0,1,0,0,audio/webm
256,0,0,6,0,1,0,0,audio/mp4
258,0,0,6,0,1,0,0,audio/mp4
259,0,0,6,3,1,0,0,audio/mp4
261,0,0,6,3,1,0,0,audio/mp4
271,2560,1440,0,0,1,0,1,video/webm
272,14336,14336,0,0,1,0,1,video/webm
273,854,480,0,3,1,0,1,video/webm
274,1280,720,0,3,1,0,1,video/webm
275,1920,1080,0,3,1,0,1,video/webm
276,2560,1440,0,3,1,0,1,video/webm
277,14336,14336,0,3,1,0,1,video/webm
278,256,144,0,0,1,0,1,video/webm
279,426,240,0,3,1,0,1,video/webm
280,640,360,0,3,1,0,1,video/webm
302,1280,720,0,0,1,0,1,video/webm
303,1920,1080,0,0,1,0,1,video/webm
308,2560,1440,0,0,1,0,1,video/webm
313,3840,2160,0,0,1,0,1,video/webm
314,3840,2160,0,3,1,0,1,video/webm
315,3840,2160,0,0,1,0,1,video/webm
317,854,480,0,3,1,0,1,video/webm
318,854,480,0,3,1,0,1,video/webm
325,0,0,6,0,1,0,0,audio/mp4
326,0,0,6,3,1,0,0,audio/mp4
328,0,0,6,0,1,0,0,audio/mp4
329,0,0,6,3,1,0,0,audio/mp4
330,256,144,0,0,1,0,2,video/webm
331,426,240,0,0,1,0,2,video/webm
332,640,360,0,0,1,0,2,video/webm
333,854,480,0,0,1,0,2,video/webm
334,1280,720,0,0,1,0,2,video/webm
335,1920,1080,0,0,1,0,2,video/webm
336,2560,1440,0,0,1,0,2,video/webm
