_id,contacts_id,display_name,photo_uri,photo_thumb_uri,height,width,group_type,has_phone_number,contact_last_updated_timestamp,face_data,service_flag
1,1,411 & More,,,,,0,1,1617476960077,0,0
2,2,Customer Care,,,,,0,1,1617476960077,0,0
3,3,Voice Mail,,,,,0,1,1617476960077,0,0
