data_type,key,metadata
MAPS_SEARCH_CLICK,_version_info,c3FeE8ZW0bUXELXrd6iumDRIuOfGrBc
GELLER_CONFIG,_sync_timestamp_micros,1626977235835318
GELLER_CONFIG,_sync_token,EgkItrPMwaL38QI=
MAPS_SEARCH_CLICK,_sync_timestamp_micros,1626977235835318
MAPS_SEARCH_CLICK,_sync_token,EgkItrPMwaL38QI=
