_id,key,specifiedName,participantString,fitScreenParticipantString,participantsSize,friendRowId,displayTimestamp,displayInteractionType,sortingTimestamp,groupCreationTimestamp,lastInteractionTimestamp,lastInteractionUserId,lastInteractionWriterId,clearedTimestamp,storySkipCount,lastReadTimestamp,lastReader,lastWriteTimestamp,lastWriteType,lastWriter,myLastReadTimestamp,friendLastReadTimestamp,lastSnapType,messageRetentionInMinutes,kind,notificationMuted,cognacNotificationMuted,sourcePage,retentionPromptProfileCardHasBeenDismissed,retentionPromptChatCardHasBeenDismissed,userSavedTimestamps,numTimesShownChatDeletionExplainer
1,b7390717-f803-5039-810f-6bc00a50370f,,,,1,2,1624128599184,SNAP_RECEIVED_AND_NOT_VIEWED_SOUND,1625410598444,0,1625410598444,,,0,0,,,,,,,,,,0,0,0,0,0,0,,0
2,1ae5d4ea-b24f-5e25-a964-d347b9253006,,,,1,4,1621267648827,CHAT_SENT,1621267648827,0,1621267648827,,,0,0,,,,,,,,,,0,0,0,0,0,0,,0
3,318700e5-06a9-52c8-8fdf-ecfba07abcaa,,,,1,5,1617555773311,UNKNOWN,1617555773311,0,1617555773311,,,0,0,,,,,,,,,,0,0,0,0,0,0,,0
