nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,7
2,1,1,6,0,0,0,7
3,1,2,14,0,0,0,7
4,2,0,0,0,-48,0,7
5,2,0,0,0,-47,0,7
6,2,0,0,0,-46,0,7
7,1,3,0,1,0,0,7
8,2,0,0,0,-7,0,7
9,2,0,0,0,-3,0,7
10,2,0,0,0,-2,0,7
11,2,0,0,0,0,0,7
12,2,0,0,0,1,0,7
13,1,4,30,0,0,0,7
14,1,5,1,0,0,0,7
15,1,5,2,1,0,0,7
16,2,0,0,0,39,0,7
17,2,0,0,0,39,0,7
18,1,6,1,0,0,0,7
19,2,0,0,0,49,0,7
20,2,0,0,0,50,0,7
21,2,0,0,0,60,0,7
22,1,8,15,0,0,0,7
23,1,10,3,0,0,0,7
24,1,10,1,1,0,0,7
25,1,10,0,1,0,0,7
26,1,10,31,0,0,0,7
27,1,10,31,0,0,0,7
28,1,11,1,0,0,0,7
29,1,11,2,0,0,0,7
30,1,11,11,0,0,0,7
31,1,11,0,5,-11,0,7
32,1,11,0,5,-8,0,7
33,1,11,0,5,-4,0,7
34,1,11,0,5,3,32,7
34,1,12,24,0,0,64,7
35,1,11,0,5,3,0,7
36,1,12,6,0,0,0,7
37,1,11,0,5,10,0,7
38,1,11,0,5,17,0,7
39,1,11,0,5,24,0,7
40,1,12,24,0,0,0,7
41,1,12,25,0,0,0,7
42,1,12,26,0,0,0,7
43,1,12,24,0,0,32,7
43,1,12,26,0,0,64,7
44,1,12,31,0,0,0,7
201,1,11,4,6,0,0,7
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
100,100,0,0,0,0,0,0
