_id,MCC,SID_Conflict
1,603,8294
2,363,12978
3,505,8358
4,505,8360
5,364,32752
6,470,12461
7,470,12463
8,470,12464
9,350,8198
10,625,8860
11,625,8861
12,625,8863
13,623,9322
14,612,8960
15,612,8962
16,627,9394
17,636,9788
18,636,9790
19,620,9244
20,630,9488
21,632,9562
22,708,32752
23,454,13
24,404,2222
25,404,14850
26,440,12461
27,440,12463
28,440,12464
29,440,12978
30,230,16128
31,334,1525
32,362,136
33,530,8616
34,621,111
35,621,211
36,621,311
37,410,14850
38,310,1284
39,250,1901
40,619,9212
41,520,8198
42,615,9080
43,734,4100
44,734,4120
45,734,4130
46,734,4140
47,734,4101
48,734,4150
49,724,3
50,724,23
51,724,27
52,724,29
53,724,33
54,724,43
55,724,47
56,724,61
57,724,65
58,724,67
59,724,69
60,724,71
61,724,131
62,724,257
63,724,259
64,724,261
65,724,263
66,724,320
67,724,322
68,724,326
69,724,328
70,724,330
71,724,387
72,724,389
73,724,391
74,724,395
75,724,576
76,724,582
77,724,703
78,724,739
79,724,1218
80,724,1220
81,724,1222
82,724,1282
83,724,1313
84,724,1315
85,724,1329
86,724,1409
87,724,1443
88,724,1521
89,724,1569
90,724,1581
91,724,1634
92,724,1666
93,724,1668
94,310,1
95,310,2
96,310,3
97,310,7
98,310,13
99,310,23
100,310,27
101,310,29
102,310,33
103,310,43
104,310,47
105,310,61
106,310,65
107,310,67
108,310,69
109,310,71
110,310,111
111,310,131
112,310,211
113,310,257
114,310,259
115,310,261
116,310,263
117,310,311
118,310,320
119,310,322
120,310,326
121,310,328
122,310,330
123,310,387
124,310,389
125,310,391
126,310,395
127,310,576
128,310,582
129,310,703
130,310,739
131,310,741
132,310,1111
133,310,1112
134,310,1113
135,310,1218
136,310,1220
137,310,1222
138,724,1284
139,310,1282
140,310,1313
141,310,1315
142,310,1329
143,310,1409
144,310,1443
145,310,1521
146,310,1569
147,310,1581
148,310,1634
149,310,1666
150,310,1668
151,310,1700
152,310,1901
153,310,2177
154,310,2179
155,310,2181
156,310,2183
157,310,2185
158,310,2187
159,310,2189
160,310,2191
161,310,2193
162,310,2195
163,310,2197
164,310,2199
165,310,2201
166,310,2203
167,310,2205
168,310,2207
169,310,2209
170,310,2211
171,310,2213
172,310,2215
173,310,2217
174,310,2219
175,310,2221
176,310,2223
177,310,2225
178,310,2227
179,310,2229
180,310,2231
181,310,2233
182,310,2235
183,310,2237
184,310,2239
185,310,2241
186,310,2243
187,310,2301
188,310,2303
189,310,4110
190,310,4369
191,310,4370
192,310,4371
193,310,4120
194,310,4130
195,310,4140
196,310,5732
197,310,5734
198,310,5772
199,310,8294
200,310,8358
201,310,8360
202,310,8616
203,310,8860
204,310,8861
205,310,8863
206,310,8950
207,310,8952
208,310,8960
209,310,8962
210,310,9080
211,310,9212
212,310,9244
213,308,10817
214,310,9322
215,310,9394
216,310,9488
217,310,9562
218,310,9640
219,310,9642
220,310,9644
221,310,9788
222,310,9790
223,450,1111
224,450,1112
225,450,1113
226,450,1700
227,450,2177
228,450,2179
229,450,2181
230,450,2183
231,450,2185
232,450,2187
233,450,2189
234,450,2191
235,450,2193
236,450,2195
237,450,2197
238,450,2199
239,450,2201
240,450,2203
241,450,2205
242,450,2207
243,450,2209
244,450,2211
245,450,2213
246,450,2215
247,450,2217
248,450,2219
249,450,2221
250,450,2222
251,450,2223
252,450,2225
253,450,2227
254,450,2229
255,450,2231
256,450,2233
257,450,2235
258,450,2237
259,450,2239
260,450,2241
261,450,2243
262,450,2301
263,450,2303
264,450,4369
265,450,4370
266,450,4371
267,310,4100
268,647,8950
269,647,8952
270,259,16128
271,653,9640
272,653,9642
273,653,9644
274,404,1
275,404,2
276,404,7
277,310,136
278,310,324
279,724,324
280,724,393
281,310,393
282,310,578
283,724,578
284,301,700
285,346,700
286,740,741
287,310,1411
288,724,1411
289,310,1525
290,310,1538
291,724,1538
292,310,4101
293,310,4150
294,732,5732
295,732,5734
296,732,5772
297,360,8002
298,352,8002
299,360,8003
300,352,8003
301,356,8036
302,310,8036
303,352,8066
304,310,8066
305,342,8166
306,356,8166
307,620,9246
308,310,9246
309,510,10817
310,404,14838
311,405,14838
312,404,14839
313,405,14839
314,404,14840
315,405,14840
316,404,14841
317,405,14841
318,404,14842
319,405,14842
320,404,14843
321,405,14843
322,404,14844
323,405,14844
324,404,14845
325,405,14845
326,404,14846
327,405,14846
