_id,vibration_name,vibration_pattern,vibration_type,custom_data,is_custom
1,Basic,50083,1,,0
2,Heartbeat,50033,1,,0
3,Ticktock,50034,1,,0
4,Waltz,50037,1,,0
5,Zig-zig-zig,50036,1,,0
6,Off-beat,50108,1,,0
7,Spinning,50109,1,,0
8,Siren,50110,1,,0
9,Telephone,50111,1,,0
10,Ripple,50112,1,,0
11,Bounce,50117,1,,0
12,Tap,50118,1,,0
13,Dubstep,50119,1,,0
14,Fireworks,50120,1,,0
15,Gallop,50121,1,,0
16,Shuffle,50122,1,,0
17,Spring,50123,1,,0
