tags_id,tag_type,tag_display_name,tag_data
1,4,Scene,toys
2,5,SubScene,toy_cars
3,4,Scene,cars
4,5,SubScene,sports_cars
5,4,Scene,electronics
6,5,SubScene,computer_mice
8,5,SubScene,phones_and_tablets
9,4,Scene,glasses
10,4,Scene,people
11,4,Scene,scenery
12,5,SubScene,night_scenes
14,5,SubScene,streets
17,5,SubScene,mountains
26,4,Scene,furniture
30,4,Scene,food
31,4,Scene,documents
41,5,SubScene,trucks
