name,seq
DiscoverFeedSections,67
StoryPreference,1296
LastFullSync,66
StoryCard,1925
DiscoverFeedStory,1481
PublisherSnapPage,23685
DiscoverStorySnap,3271
ClientRankingParams,75
StoryCardRanking,1861
StoryInteractionSignals,136
StoryCorpusSignals,58
SimpleKeyValue,15
PromotedStorySnap,261
PlaybackSnapView,82
